Nutzung - daamob;Nutzung - VM_froehlich;Nutzung - Terminallizenzserver;Nutzung - VM-carlos-neu-win;Nutzung - ownCloud-TEST;Nutzung - management;Nutzung - cloudstorage;Nutzung - droidcandy;Nutzung - groupware;Nutzung - MaPBiquitous;Nutzung - percol;Nutzung - Promotionsinfosys;Nutzung - promotionsinfosys2;Nutzung - VM_Zille;Nutzung - vm-amcs-dev;Nutzung - vm-carlos-neu;Nutzung - vm-wiki-haec;Nutzung - VM-collabware;Nutzung - VM-SAP-Lehre;Nutzung - VM-mobilephonesensing;Nutzung - buddelflink;Nutzung - VM-Gleichstellung;Nutzung - VM-wutzler;Nutzung - VM-IoT-Praktikum;Nutzung - vm-svn-backup;Nutzung - VM-Cyface;Nutzung - VM-Kubica;Nutzung - VM-Czechmann;Nutzung - VM-Fetzer1;Nutzung - VM-Fetzer2;Nutzung - openresearchdata-zih;Nutzung - effingo-vm-zih;Nutzung - VM-Percol-neu;Nutzung - VM-Haufe;Nutzung - FlexCloudFreeNAS;Nutzung - Matlab
0.13;1.85;0.58;0.33;0.27;0.46;0.54;0.25;0.23;5.09;100;0.54;0.57;100;0.1;0.11;0.69;100;0.49;0.16;0.21;0.22;0.09;0.46;0.12;8.32;0.3;1.22;0.37;0.39;1.49;0.87;0.61;2.01;1.45;0.58
0.49;7.64;0.88;0.71;0.55;0.74;1.36;0.5;0.62;5.26;99.35;0.82;1.16;98.95;0.1;0.28;0.89;98.54;0.88;0.48;0.74;0.45;0.29;0.58;0.44;13.3;0.49;1.34;0.64;0.58;1.62;1;1;2.35;1.56;0.73
0.4;2.14;0.7;0.56;0.4;0.81;1.1;0.55;0.43;5.08;100;0.63;0.78;99.52;0.11;0.2;0.89;99.97;0.65;0.4;0.52;0.31;0.21;0.52;0.25;11.6;0.34;1.4;0.5;0.53;1.58;0.95;0.75;2.24;1.43;0.56
0.21;1.86;0.62;0.38;0.22;0.46;0.54;0.22;0.35;5.5;100;0.56;0.6;100;0.09;0.15;0.61;100;0.43;0.14;0.17;0.21;0.11;0.43;0.18;6.49;0.3;1.13;0.38;0.34;1.49;0.85;0.61;1.94;1.49;0.54
0.12;7.57;0.73;0.4;0.21;0.59;0.43;0.35;0.34;5.04;100;0.5;0.95;100;0.1;0.1;0.64;100;0.55;0.18;0.2;0.24;0.14;0.45;0.06;3.92;0.24;1.03;0.29;0.37;1.49;0.85;0.56;1.91;1.09;0.6
0.22;1.88;0.52;0.34;0.27;0.6;0.55;0.28;0.22;4.48;100;0.46;0.69;100;0.08;0.08;0.66;100;0.59;0.15;0.22;0.21;0.16;0.4;0.18;7.28;0.33;1.14;0.36;0.35;1.48;0.83;0.6;2.06;1.22;0.45
0.58;2.15;0.95;0.76;0.52;0.76;1.52;0.55;0.55;4.86;100;0.83;0.95;100;0.14;0.31;1.02;100;0.69;0.61;0.72;0.46;0.23;0.61;0.5;11.4;0.43;1.37;0.65;0.63;1.68;1.06;1.11;2.3;2.15;0.83
0.35;2.03;0.87;0.8;0.44;0.69;0.91;0.48;0.48;4.77;100;0.69;0.74;100;0.11;0.2;0.82;100;0.68;0.31;0.51;0.35;0.22;0.53;0.19;10.96;0.33;1.22;0.46;0.46;1.55;0.89;0.67;2.18;1.35;0.66
0.18;7.23;0.51;0.32;0.24;0.55;0.48;0.27;0.29;4.5;100;0.46;0.58;100;0.08;0.11;0.71;100;0.6;0.15;0.18;0.23;0.16;0.43;0.12;12.56;0.36;1.07;0.37;0.37;1.52;0.67;0.61;2.02;1.4;0.43
0.14;1.92;0.59;0.45;0.19;0.45;0.42;0.29;0.34;4.85;100;0.48;0.54;100;0.09;0.21;0.58;100;0.49;0.18;0.18;0.23;0.07;0.46;0.12;14.19;0.28;1.17;0.35;0.36;1.5;0.83;0.54;1.96;1.72;0.6
0.23;2;0.69;0.5;0.34;0.59;0.79;0.38;0.35;4.85;99.57;0.62;0.81;100;0.11;0.14;0.89;100;0.6;0.26;0.49;0.23;0.22;0.46;0.25;14.67;0.33;1.09;0.42;0.4;1.58;0.94;0.74;2.08;1.34;0.58
0.52;6.48;0.82;0.69;0.57;0.91;1.53;0.62;0.56;4.8;97.07;0.82;0.82;98.32;0.13;0.31;0.96;99.23;0.91;0.57;0.7;0.5;0.29;0.56;0.39;14.21;0.49;1.49;0.63;0.63;1.63;1.03;0.99;2.27;1.75;0.77
0.26;1.8;0.7;0.49;0.26;0.55;0.67;0.36;0.41;4.84;100;0.58;0.6;100;0.08;0.42;0.74;100;0.43;0.26;0.45;0.25;0.12;0.52;0.18;14.89;0.27;1.26;0.39;0.43;1.65;0.91;0.72;2.1;3.6;0.56
0.14;1.95;0.65;0.42;0.24;0.55;2.62;0.35;0.23;4.77;100;0.54;0.65;100;0.1;0.17;0.69;100;0.62;0.11;0.19;0.14;0.16;0.42;0.12;15.5;0.3;16.4;0.39;0.32;1.48;1.53;0.49;2.05;1.45;0.57
0.19;6.69;0.62;0.37;0.24;0.6;1.2;0.3;0.29;4.71;99.82;0.57;0.65;99.42;0.07;0.12;0.64;99.32;0.55;0.17;0.19;0.24;0.1;0.43;0.18;13.73;0.34;1.17;0.3;0.33;1.34;10.95;0.6;1.97;1.43;0.42
0.42;2.06;0.71;0.54;0.42;0.66;1.11;0.72;0.43;5.04;100;0.63;0.8;99.75;0.09;0.24;0.78;99.44;0.68;0.38;0.49;0.37;0.21;0.51;0.32;10.13;0.4;7.74;0.51;0.52;1.33;2.35;0.82;2.04;1.98;0.63
0.47;2.34;1.32;0.77;0.46;0.77;1.35;0.58;0.61;5.73;100;0.8;0.95;100;0.15;0.27;1.03;100;0.76;0.51;0.7;0.41;0.27;0.58;0.37;9.67;0.46;5.58;0.6;0.61;1.69;0.99;1.01;2.24;1.77;0.72
0.13;4.05;0.47;0.42;0.32;0.58;0.61;0.41;0.3;5.06;100;0.51;0.59;100;0.08;0.14;0.7;100;0.56;0.14;0.22;0.22;0.16;0.39;0.12;11.18;0.3;1.2;0.36;0.36;1.5;0.87;0.67;1.89;1.39;0.44
0.18;4.9;0.61;0.29;0.22;0.51;0.48;0.23;0.28;5.37;100;0.6;0.54;100;0.06;0.11;0.63;99.67;0.43;0.19;0.17;0.44;0.09;0.47;0.18;10.64;0.27;1.32;0.31;0.31;1.5;0.95;0.48;1.92;1.47;0.41
0.17;1.87;0.69;0.63;0.27;0.51;0.43;0.29;0.28;5.3;100;0.53;0.74;100;0.08;0.16;0.71;100;0.61;0.15;0.26;0.26;0.14;0.46;0.12;6.67;0.3;1.05;0.35;0.37;1.51;0.81;0.61;8.18;1.08;0.56
0.42;2.09;0.71;0.76;0.42;0.85;1.33;0.44;0.54;5.22;100;0.67;0.75;100;0.13;0.21;0.87;100;0.74;0.42;0.62;0.42;0.25;0.55;0.31;3.1;0.42;1.4;0.62;0.58;1.59;0.99;1.03;5.49;1.56;0.56
0.44;7.71;0.81;0.56;0.49;0.68;1.2;0.56;0.61;5.28;100;0.76;0.74;100;0.11;0.25;0.9;100;0.62;0.45;0.59;0.34;0.22;0.57;0.37;5.43;0.43;1.65;0.53;0.5;1.59;1.01;0.86;2.24;1.97;0.73
0.16;1.92;0.58;0.42;0.22;0.65;0.43;0.24;0.23;5.17;100;0.55;0.66;100;0.08;0.1;0.76;100;0.53;0.14;0.5;0.21;0.13;0.44;0.12;11.16;0.28;1.01;0.34;0.34;1.5;0.87;0.61;2.04;1.26;0.44
0.12;1.88;0.5;0.37;0.26;0.57;0.43;0.36;0.29;5;100;0.43;0.56;100;0.08;0.12;0.63;100;0.57;0.16;0.16;0.24;0.12;0.42;0.18;11.07;0.27;1.82;0.29;0.38;1.48;0.85;0.55;2.07;1.11;0.44
0.18;8.51;0.62;0.38;0.23;0.52;0.5;0.29;0.3;5.22;100;0.58;0.62;100;0.07;0.16;0.63;100;0.43;0.14;0.37;0.18;0.08;0.42;0.12;12.93;0.37;1.35;0.4;0.36;1.48;0.85;0.49;2.09;1.63;0.44
0.54;2.33;0.87;0.63;0.46;0.73;1.42;0.56;0.5;5.27;100;0.85;1.01;99.66;0.14;0.26;0.96;100;0.84;0.51;0.79;0.45;0.3;0.61;0.43;13.81;0.44;1.39;0.6;0.61;1.67;1.07;1.12;2.41;1.64;0.75
0.36;2.39;0.71;0.57;0.45;0.77;1.03;0.48;0.5;4.96;100;0.6;0.83;99.86;0.11;0.23;0.88;100;0.75;0.33;0.47;0.35;0.26;0.56;0.31;13.78;0.44;1.24;0.5;0.5;1.58;0.98;0.86;2.26;1.59;0.56
0.18;7.06;0.6;0.4;0.23;0.54;0.49;0.29;0.23;5.14;100;0.59;0.55;99.42;0.08;0.11;0.67;100;0.5;0.17;0.22;0.17;0.08;0.45;0.18;12.79;0.33;1.18;0.33;0.38;1.5;0.89;0.49;2.84;3.14;0.55
0.13;2.9;0.52;0.39;0.19;0.49;0.49;0.23;0.29;5.58;99.39;0.49;0.76;99.1;0.08;0.11;0.59;99.2;0.53;0.17;0.18;0.21;0.16;0.43;0.06;14.64;0.3;1.13;0.4;0.33;1.51;0.87;0.55;5.98;1.24;0.44
0.18;1.95;0.52;0.34;0.28;0.59;0.55;0.42;0.29;5.89;99.27;0.53;0.65;100;0.08;0.13;0.63;99.13;0.66;0.23;0.26;0.22;0.16;0.42;0.25;15.1;0.27;1.1;0.35;0.37;1.55;0.9;0.75;2.11;1.33;0.5
0.47;2.31;1.02;0.73;0.51;0.77;1.53;0.69;0.56;5.53;99.46;0.84;0.93;98.57;0.14;0.34;1.1;97.23;0.7;0.52;0.71;0.5;0.21;0.6;0.44;16.56;0.49;1.42;0.68;0.62;1.67;1.05;1;2.35;2.14;0.73
0.39;6.96;0.67;0.46;0.34;0.57;0.86;0.36;0.42;5.02;99.87;0.69;0.98;100;0.11;0.2;0.72;98.92;0.62;0.3;0.37;0.29;0.21;0.5;0.25;11.48;0.37;1.12;0.44;0.5;1.51;0.93;0.76;2.17;1.48;0.53
0.13;1.9;0.44;0.64;0.23;0.62;0.5;0.23;0.28;4.73;100;0.46;0.63;100;0.07;0.11;0.7;100;0.6;0.14;0.21;0.2;0.11;0.38;0.06;7.86;0.37;1.13;0.38;0.32;1.49;0.85;0.61;2.01;1.19;0.43
0.17;1.75;0.52;0.33;0.17;0.47;0.43;0.29;0.22;4.87;100;0.52;0.55;100;0.08;0.1;0.67;100;0.49;0.16;0.21;0.17;0.12;0.42;0.12;8.99;0.28;1.12;0.34;0.36;1.47;0.87;0.49;1.98;1.53;0.47
0.23;7.94;0.69;0.48;0.33;0.56;0.74;0.38;0.42;4.9;100;0.64;0.77;100;0.11;0.19;0.71;100;0.62;0.24;0.36;0.23;0.17;0.53;0.31;9.35;0.3;1.11;0.44;0.45;1.56;0.91;0.68;4.21;1.51;0.64
0.55;2.39;0.7;0.72;0.55;0.89;1.51;0.61;0.62;4.85;100;0.69;0.98;100;0.13;0.3;0.95;100;0.82;0.49;0.69;0.5;0.31;0.57;0.38;6.22;0.46;1.47;0.67;0.59;1.66;1.03;1.11;2.33;1.72;2.28
0.18;1.87;0.68;0.37;0.31;0.5;0.71;0.3;0.36;4.88;100;0.65;0.56;100;0.08;0.18;0.69;100;0.48;0.25;0.3;0.25;0.13;0.47;0.18;2.93;0.31;1.19;0.4;0.39;1.48;1.23;0.6;2.04;1.65;1.65
0.22;7.57;0.53;0.4;0.27;0.49;0.42;0.22;0.28;4.86;100;0.48;0.8;100;0.07;0.1;0.75;100;0.57;0.14;0.16;0.17;0.12;0.47;0.12;5.02;0.27;1.03;0.38;0.36;1.48;0.84;0.61;2;1.12;0.62
0.17;1.93;0.51;0.38;0.23;0.56;0.43;0.41;0.29;4.66;100;0.51;0.67;100;0.08;0.13;0.64;100;0.53;0.17;0.17;0.17;0.14;0.41;0.25;9.95;0.37;1.12;0.33;0.35;1.48;0.84;0.6;2;1.07;0.37
0.29;2.15;0.66;0.5;0.38;0.63;0.87;0.43;0.48;4.79;100;0.64;0.68;99.92;0.12;0.19;0.78;100;0.69;0.3;0.49;0.33;0.16;0.51;0.25;10.72;0.36;1.35;0.52;0.48;1.55;0.99;0.74;2.23;1.69;0.73
0.57;2.06;0.93;0.65;0.55;0.84;1.71;0.6;0.56;4.86;100;0.82;0.98;100;0.11;0.29;1.02;100;0.76;0.76;0.69;0.47;0.26;0.61;0.37;12.65;0.4;1.34;0.54;0.6;1.66;0.75;1.5;2.39;1.5;0.74
0.15;6.78;0.46;0.42;0.29;0.59;0.53;0.29;0.34;4.84;100;0.56;0.67;100;0.09;0.12;0.62;100;0.56;0.18;0.24;0.27;0.19;0.43;0.12;11.61;0.33;1.07;0.43;0.4;1.52;0.81;0.59;2.14;1.21;0.43
0.23;1.81;0.62;0.42;0.24;0.42;0.42;0.23;0.28;5.77;100;0.5;0.53;100;0.07;0.12;0.72;100;0.43;0.2;0.32;0.24;0.09;0.47;0.19;14.02;0.3;1.12;0.38;0.31;1.62;0.81;0.55;2.05;5.8;0.4
0.23;1.94;0.56;0.35;0.24;0.55;2.09;0.3;0.23;6.15;100;0.52;1.01;100;0.1;0.14;0.64;100;0.57;0.11;0.18;0.19;0.14;0.45;0.12;13.9;0.3;16.31;0.33;0.32;1.5;0.86;0.61;2.03;1.1;0.56
0.39;8.28;0.73;0.54;0.41;0.75;1.48;0.49;0.61;4.91;100;0.62;0.85;100;0.1;0.23;0.82;99.62;0.7;0.39;0.53;0.4;0.26;0.56;0.31;14.12;0.49;1.26;0.51;0.54;1.55;0.97;0.87;3.17;1.38;0.57
0.62;2.3;0.81;0.92;0.44;0.72;1.41;0.68;0.5;5.2;99.63;0.91;0.87;99.46;0.11;0.28;0.96;99.24;0.76;0.43;0.71;0.44;0.19;0.59;0.44;14.3;0.44;1.41;0.64;0.61;1.67;1.16;0.93;2.35;2.03;1.73
0.15;1.91;0.56;0.3;0.21;0.53;0.42;0.22;0.22;5.16;100;0.54;0.68;100;0.1;0.1;0.75;100;0.56;0.15;0.2;0.2;0.15;0.47;0.12;17.94;0.27;1.08;0.38;0.32;1.11;0.84;0.48;2.04;1.32;0.5
0.18;7.43;0.53;0.38;0.28;0.57;0.43;0.23;0.35;4.81;100;0.42;0.61;99.3;0.08;0.16;0.69;98.84;0.57;0.17;0.21;0.17;0.17;0.39;0.12;12.41;0.27;1.16;0.39;0.37;1.48;0.96;0.61;2.02;1.17;0.44
0.17;1.83;0.6;0.38;0.22;0.46;0.5;0.34;0.34;5.45;100;0.55;0.48;100;0.09;0.15;0.63;100;0.43;0.16;0.17;0.16;0.08;0.42;0.18;8;0.27;1.13;0.29;0.33;1.48;0.85;0.62;2.25;1.68;0.43
0.5;2.07;0.9;0.67;0.44;0.76;1.34;0.49;0.48;6.08;100;0.87;0.88;100;0.12;0.26;0.96;100;0.75;0.47;0.66;0.5;0.28;0.59;0.31;9.05;0.46;1.29;0.65;0.59;1.63;1.58;0.93;8.63;1.74;0.78
0.45;6.85;0.71;0.61;0.45;0.82;1.09;0.49;0.54;5.24;100;0.6;0.85;100;0.11;0.23;0.79;100;0.7;0.36;0.62;0.35;0.23;0.53;0.37;9.58;0.41;1.29;0.52;0.52;1.61;2.16;0.79;2.23;1.6;0.62
0.17;3.15;0.51;0.32;0.25;0.45;0.42;0.29;0.28;4.96;100;0.54;0.54;100;0.08;0.15;0.65;100;0.49;0.16;0.21;0.17;0.08;0.41;0.06;6.27;0.24;1.15;0.38;0.38;1.44;0.9;0.61;1.98;1.5;0.51
0.16;1.85;0.63;0.36;0.2;0.54;0.48;0.23;0.28;4.85;100;0.51;0.65;100;0.09;0.12;0.67;100;0.52;0.18;0.16;0.2;0.15;0.42;0.12;2.81;0.25;1.04;0.33;0.34;1.47;1.19;0.42;1.95;1.32;0.44
0.2;1.76;0.46;0.36;0.21;0.51;0.42;0.35;0.28;4.7;100;0.48;0.61;100;0.07;0.12;0.63;100;0.52;0.13;0.16;0.2;0.14;0.39;0.25;5.46;0.3;1.09;0.35;0.31;1.45;0.88;0.55;2.03;1.3;0.33
0.5;7.58;0.85;0.72;0.51;0.7;1.53;0.58;0.63;5.6;100;0.88;0.92;100;0.13;0.28;0.96;100;0.75;0.59;0.8;0.5;0.27;0.62;0.38;10.55;0.44;1.45;0.65;0.65;1.66;1.71;1.12;2.33;1.92;0.81
0.31;1.98;0.72;0.57;0.44;0.76;0.86;0.45;0.49;4.64;100;0.61;0.77;100;0.12;0.23;0.84;100;0.73;0.27;0.39;0.3;0.2;0.5;0.3;10.6;0.34;1.21;0.49;0.48;1.57;0.91;0.68;2.14;1.57;0.62
0.13;1.86;0.48;0.34;0.18;0.54;0.43;0.24;0.28;4.5;100;0.49;0.57;100;0.07;0.11;0.68;100;0.55;0.15;0.18;0.18;0.11;0.36;0.06;12.93;0.37;1.09;0.27;0.32;1.51;0.85;0.54;2.04;1.18;0.38
0.22;7.28;0.58;0.38;0.23;0.47;0.54;0.29;0.29;4.66;100;0.55;0.61;100;0.08;0.11;0.63;100;0.44;0.15;0.18;0.18;0.11;0.46;0.18;12.1;0.33;1.09;0.38;0.36;1.47;0.87;0.61;1.98;3.22;0.44
0.23;2.27;0.59;0.7;0.29;0.58;0.68;0.37;0.41;4.73;99.8;0.59;0.76;99.02;0.1;0.16;0.78;100;0.68;0.25;0.36;0.23;0.13;0.47;0.25;14.83;0.33;1.12;0.38;0.36;1.51;0.91;0.8;2.11;1.46;0.62
0.53;2.05;0.81;0.67;0.5;0.85;1.46;0.55;0.55;4.61;100;0.77;0.86;100;0.13;0.29;0.99;100;3.51;0.54;0.79;0.52;0.33;0.58;0.44;13.43;0.43;1.42;0.64;0.63;1.71;1.02;0.98;2.42;2.03;0.75
0.3;10.83;0.71;0.54;0.47;0.57;0.67;0.41;0.47;4.59;100;0.66;0.66;100;0.08;0.2;0.7;100;0.61;0.29;0.29;0.29;0.15;0.52;0.12;13.46;0.33;1.2;0.46;0.48;1.55;0.92;0.65;2.16;1.75;0.46
0.19;1.91;0.73;0.33;0.23;0.52;0.48;0.35;0.28;4.51;100;0.53;0.69;100;0.09;0.09;0.64;100;0.56;0.16;0.28;0.23;0.12;0.44;0.18;14.87;0.27;1;0.36;0.32;1.5;0.81;0.6;2.02;1.35;0.45
0.14;1.79;0.38;0.36;0.4;0.53;0.42;0.28;0.28;4.31;100;0.51;0.6;100;0.06;0.15;0.64;100;0.49;0.18;0.19;0.19;0.17;0.41;0.12;15.11;0.3;1.07;0.34;0.39;1.58;0.87;0.6;2.06;1.38;0.43
0.3;1.82;0.69;0.59;0.4;0.62;0.85;0.41;0.41;4.72;100;0.63;0.66;100;0.09;0.2;0.82;100;0.55;0.29;0.4;0.25;0.17;0.53;0.25;14.17;0.33;1.24;0.44;0.42;1.54;0.89;0.66;2.19;1.99;0.56
0.47;7.39;0.93;0.65;0.67;0.79;1.51;0.55;0.67;4.68;100;0.85;0.93;100;0.14;0.29;0.92;100;0.93;0.45;0.65;0.51;0.35;0.64;0.43;8.35;0.45;1.35;0.59;0.62;1.72;1.01;0.98;2.27;1.82;0.76
0.2;1.96;0.5;0.31;0.29;0.57;0.53;0.35;0.34;4.47;100;0.54;0.62;100;0.09;0.14;0.73;100;0.58;0.22;0.23;0.24;0.15;0.39;0.12;10.02;0.3;1.27;0.37;0.34;1.47;0.86;0.53;2;1.5;0.49
0.14;2.25;0.58;0.4;0.28;0.41;0.48;0.29;0.34;4.62;100;0.52;0.53;100;0.07;0.12;0.73;100;0.48;0.17;0.22;0.18;0.14;0.44;0.18;11.29;0.3;1.18;0.34;0.35;1.5;0.86;0.55;2.01;1.57;0.37
0.19;7.62;0.57;0.39;0.42;0.55;0.54;0.3;0.28;5.41;100;0.54;0.74;100;0.08;0.12;0.64;100;0.57;0.17;0.17;0.18;0.19;0.41;0.12;7.04;0.27;1.83;0.36;0.37;1.48;0.85;0.6;1.93;1.11;0.56
0.39;1.99;0.68;0.51;0.41;0.72;1.09;0.43;0.54;4.58;100;0.68;0.68;100;0.11;0.27;0.81;100;0.73;0.37;0.6;0.34;0.25;0.54;0.37;3.2;0.43;1.25;0.52;0.55;1.59;0.97;0.85;2.1;1.53;0.61
0.46;2.12;0.79;0.63;0.49;0.7;1.32;0.56;0.55;11.66;100;0.76;0.9;100;0.12;0.28;0.96;100;0.75;0.49;0.61;0.45;0.23;0.54;0.37;4.48;0.4;1.42;0.61;0.55;1.64;1.02;0.99;2.31;2.01;0.64
0.14;6.95;0.62;0.64;0.23;0.51;0.43;0.7;0.29;5;100;0.49;0.66;100;0.09;0.13;0.64;99.89;0.56;0.17;0.21;0.22;0.16;0.44;0.12;8.82;0.31;1.04;0.31;0.39;1.5;0.86;0.55;1.94;1.1;0.44
0.21;1.98;0.46;0.32;0.22;0.54;0.43;0.31;0.29;4.61;100;0.49;0.68;100;0.09;0.08;0.64;100;0.62;0.12;0.17;0.17;0.14;0.36;0.12;10.84;0.27;1.13;0.32;0.34;1.45;0.86;0.61;1.9;1.08;0.44
0.14;1.61;0.65;0.41;0.29;0.53;0.43;0.23;0.28;4.71;100;0.54;0.43;100;0.06;0.12;0.63;100;0.43;0.15;0.22;0.23;0.14;0.45;0.12;12.24;0.27;1.1;0.36;0.34;1.62;0.66;0.48;2.04;3.33;0.43
0.43;4.9;0.83;0.6;0.53;0.73;2.89;0.55;0.6;4.76;100;0.78;1.35;100;0.12;0.26;0.89;98.97;0.71;0.54;0.7;0.42;0.28;0.62;0.38;13.17;0.42;16.3;0.61;0.59;1.66;2.58;0.98;2.4;1.78;0.75
0.48;3.39;0.7;0.64;0.52;0.77;1.5;0.5;0.49;4.72;99.44;0.64;0.82;100;0.13;0.24;0.94;100;0.98;0.39;0.57;0.42;0.26;0.51;0.37;14.04;0.46;1.33;0.56;0.57;1.66;3.25;0.93;2.23;1.78;0.56
0.14;1.71;0.61;0.32;0.3;0.47;0.48;0.34;0.29;4.72;100;0.58;0.53;100;0.09;0.09;0.72;100;0.45;0.17;0.19;0.19;0.09;0.44;0.12;12.91;0.27;1.08;0.32;0.36;1.48;0.85;0.48;2.09;1.68;0.49
0.14;1.93;0.62;0.41;0.25;0.56;0.48;0.35;0.22;4.59;100;0.57;0.73;100;0.07;0.14;0.57;100;0.62;0.16;0.23;0.19;0.18;0.44;0.06;13.73;0.27;1.05;0.36;0.34;1.51;1.57;0.55;2.05;1.32;0.44
0.14;7.97;0.51;0.37;0.29;0.61;0.42;0.23;0.28;4.5;100;0.47;0.62;100;0.06;0.12;0.73;100;0.54;0.16;0.19;0.18;0.11;0.39;0.12;15.14;0.24;1.16;0.34;0.36;1.49;0.88;0.6;2.08;1.31;0.37
0.53;2.11;0.95;0.72;0.73;0.76;1.42;0.6;0.6;5;100;0.92;0.79;100;0.13;0.3;1.02;100;0.68;0.57;0.8;0.48;0.27;0.64;0.44;15.96;0.49;1.43;0.66;0.67;1.41;1.03;1.04;2.37;2.22;0.68
0.37;1.81;0.83;0.55;0.38;0.72;0.97;0.41;0.55;4.72;100;0.68;0.74;100;0.1;0.24;0.77;100;0.7;0.38;0.5;0.42;0.2;0.59;0.37;11.93;0.33;1.12;0.5;0.47;1.57;0.93;0.73;8.53;1.72;0.63
0.23;8.96;0.45;0.35;0.29;0.54;0.42;0.23;0.22;4.91;100;0.46;0.56;100;0.07;0.09;0.68;100;0.54;0.13;0.22;0.22;0.15;0.37;0.06;10.54;0.33;1.14;0.35;0.35;1.49;1.59;0.53;2.01;1.32;0.37
0.14;1.89;0.57;0.35;0.23;0.5;0.43;0.31;0.24;4.6;100;0.56;0.63;100;0.08;0.11;0.53;100;33.17;0.17;0.18;0.18;0.13;0.49;0.12;10.2;0.28;1.06;0.32;0.37;1.5;1.22;0.56;1.97;1.62;0.44
0.18;1.75;0.68;0.47;0.33;0.59;0.61;0.35;0.34;5.12;100;0.56;0.68;100;0.08;0.16;0.7;100;0.61;0.22;0.32;0.28;0.15;0.48;0.18;10.96;0.27;1.14;0.44;0.41;1.55;1.01;0.55;2.17;1.34;0.65
0.61;8.67;0.91;0.99;0.65;0.86;1.45;0.57;0.55;5.43;100;0.77;0.96;100;0.11;0.34;0.96;100;0.77;0.58;0.78;0.51;0.33;0.6;0.38;6.41;0.47;1.44;0.66;0.61;1.69;1.04;1.04;2.49;1.84;0.69
0.24;1.9;0.67;0.51;0.32;0.58;0.84;0.35;0.52;5.22;100;0.69;0.57;100;0.11;0.17;0.69;100;0.56;0.28;0.52;0.28;0.12;0.47;0.24;3.43;0.3;1.11;0.44;0.46;1.54;1.24;0.73;2.07;1.71;0.81
0.17;1.88;0.52;0.38;0.22;0.5;0.48;0.28;0.28;4.98;100;0.53;0.58;100;0.07;0.11;0.61;100;0.61;0.18;0.41;0.17;0.16;0.44;0.12;5.25;0.27;1.06;0.34;0.34;1.45;1.92;0.42;1.98;1.08;0.49
0.21;1.79;0.52;0.34;0.17;0.54;0.43;0.25;0.23;4.8;100;0.47;0.63;100;0.08;0.15;0.72;100;0.56;0.14;0.17;0.21;0.13;0.4;0.18;11.02;0.28;0.99;0.34;0.34;1.52;0.86;0.59;1.98;1.02;0.4
0.23;7.38;0.63;0.51;0.41;0.53;0.74;0.36;0.36;5.05;100;0.6;0.67;100;0.09;0.21;0.71;100;0.56;0.32;0.33;0.28;0.16;0.53;0.25;11.53;0.39;1.31;0.45;0.43;1.53;1.88;0.8;2.19;3.41;0.6
0.55;2.39;0.94;0.75;0.57;0.84;1.36;0.61;0.61;5.22;100;0.84;0.93;100;0.14;0.3;0.98;100;0.75;0.51;0.77;0.52;0.28;0.63;0.31;12.81;0.46;1.3;0.67;0.64;1.7;1.06;1;2.33;1.61;0.71
0.19;1.99;0.54;0.5;0.29;0.7;0.73;0.41;0.29;4.9;100;0.61;0.61;100;0.09;0.17;0.76;100;0.7;0.22;0.35;0.19;0.18;0.46;0.25;13.99;0.31;1.06;0.39;0.37;1.51;0.94;0.6;2.11;1.3;0.45
0.19;6.39;0.87;0.36;0.19;0.41;0.48;0.29;0.29;4.93;100;0.62;0.6;100;0.06;0.11;0.69;100;0.43;0.2;0.18;0.18;0.09;0.43;0.12;14.94;0.27;1.16;0.35;0.35;1.53;0.81;0.61;2.05;1.54;0.4
0.14;2.16;0.8;0.46;0.28;0.56;0.42;0.29;0.29;4.59;100;0.47;0.62;100;0.1;0.15;0.66;100;0.59;0.13;0.19;0.19;0.17;0.45;0.18;14.61;0.27;0.98;0.33;0.34;1.49;0.83;0.53;2.06;1.18;0.45
0.39;2;0.72;0.58;0.36;0.66;0.92;0.36;0.42;4.91;100;0.68;0.77;100;0.09;0.23;0.77;100;0.79;0.38;0.5;0.4;0.24;0.47;0.25;14.88;0.42;1.29;0.52;0.51;1.65;0.97;0.79;2.19;1.42;0.62
